Title	Section	Description
Castor Bean (Ricinus communis)	Clinical Signs	Pigs have frequent vomiting.
Castor Bean (Ricinus communis)	Clinical Signs	"Poultry show signs of depression, roughened feathers, droopy wings, greyish wattles and combs, and emaciation. Egg production ceases and premature moulting may begin."
Castor Bean (Ricinus communis)	Animals Affected	"Ducks, horses, cattle, pigs, poultry"
Cockleburs (Xanthium strumarium L.)	Description	"The cocklebur plant is a coarse herbaceous annual about 3 feet high. They have erect, stout stems and spreading branches that are angled and often red-spotted. The leaves are alternate, rough to the touch, and broadly triangular to heart-shaped. Cockleburs produce two kinds of flowers. One kind, in short terminal branches, produces only pollen; the other kind, in clusters in the axils of the leaves, produces seed. The fruit is a small, hard, 2-chambered bur, oval in shape and about 3/4 inch long. It is covered with strong, hooked spines. This plant reproduces only by means of its seed. "
Cockleburs (Xanthium strumarium L.)	Description	"The seedling, the plant's most dangerous stage, is very different from the mature plant. It consists of a slender, straight whitish green stem 1 to 3 inches tall. Capping this stem are two strap-shaped green leaves, each about 1 1/4 inches long and l/4 inch wide. Leaves produced after these first leaves gradually assume the characteristic shape of those of the mature plant. Proof of the identity of young seedlings may be found in their attachment underground to the easily recognized burs from which they sprout."
Cockleburs (Xanthium strumarium L.)	Distribution	"Cockleburs occur throughout Illinois and the rest of the U.S. as stray plants in waste places, cornfields, pastures, and along roadsides, fencerows, stream banks, the beds of dry ponds, and previously flooded land along streams and rivers. Pastures and meadows may be heavily infested, especially with the seedling stage as the result of the burs having been washed in from adjoining fields."
Cockleburs (Xanthium strumarium L.)	Conditions of Poisoning	"Pigs rooting and grazing in cocklebur infested places are the most often poisoned domestic species, with those weighing between 20-50 pounds being the most susceptible. Poisoning also affects cattle, sheep, horses, and fowl."
Cockleburs (Xanthium strumarium L.)	Conditions of Poisoning	"The plant is most hazardous at the seedling stage because of its toxicity as well as palatability. Ingestion of young seedlings in the amount of 0.75% of the animal's weight may result in clinical signs of toxicosis in a few hours and death in 24-48 hours. Approximately 500 seedlings was lethal to a 40-pound pig. The seeds are poisonous at 0.3% of animal weight but are seldom eaten because of their spiny capsule. Occasionally the eating of the ripe spiny capsules is said to result in intestinal obstruction. Mature plants, however, are seldom eaten, perhaps because of their bitterness and rough texture."
Cockleburs (Xanthium strumarium L.)	Control	Animals should be kept out of infested grazing grounds and drinking places during late spring and early summer when cocklebur seeds are sprouting. Plants in crop fields and pastures may be removed by hoeing and weeding. Heavily infested places should be mowed before the plants form seeds.
Cockleburs (Xanthium strumarium L.)	Toxic Principle	"Carboxyatractyloside, a sulfated glycoside, which is present in high concentrations in the seed and cotyledon, is now believed to be the primary toxic principle. As plants develop past the seedling stage, their toxicity decreases. The seeds and seedlings of cockleburs contain the glucoside xanthostrumarin. Toxicity is not lost on drying."
Cockleburs (Xanthium strumarium L.)	Clinical Signs	"Clinical signs usually appear within 2-24 hours after ingestion and may be followed by death within 3 days after the onset of illness. Signs most often include anorexia, reduced responsiveness, vomiting, rapid weak pulse, dyspnea, muscular weakness, prostration, and spasmodic contraction of leg and neck muscles. Ascites and potentially lethal hypoglycemia may occur."
Cockleburs (Xanthium strumarium L.)	Clinical Signs	"Pigs display signs consistent with abdominal pain, and if severely poisoned may show opisthotonos, spasmodic running motions followed by convulsions and death after about 48 hours."
Cockleburs (Xanthium strumarium L.)	Clinical Signs	"Cattle may become blind, develop extreme hypersensitivity to external stimuli and prominent convulsions. Calves die acutely, often within 12 hours."
Cockleburs (Xanthium strumarium L.)	Clinical Signs	Fowl show markedly reduced response to external stimuli which may be followed by death.
Cockleburs (Xanthium strumarium L.)	Animals Affected	"Pigs, cattle, fowl, rodents"
Crown of Thorns (Euphorbia milii)	Description	"A low-growing evergreen shrub with very thorny grooved stems and branches. The stems are purplish brown and are 1-2 feet tall on average, but can reach 3 feet in a warm climate. The thorns are sharp, pointed and are 1/2 inch long on avarage. The ovate leaves are 1-3 inches long, few in number, and are found mostly at the growing ends. The cyathia, a type of inflorescence characteristic of the genus Euphorbia, are born in small umbels and have showy, ovate and bright red bracts. The small flowers are produced in clusters of 2-8 at the tips of green flower stem about 1 inch long. Genus Euphorbia includes other commonly available plants such as poinsettia (E. pulcherrima) and snow-on-the-mountain (E. marginata)."
Crown of Thorns (Euphorbia milii)	Distribution	"A native of Madagascar, Crown of Thorns is widely grown as a house plant in northern states including Illinois, and as a common garden plant in southern states, especially Florida."
Crown of Thorns (Euphorbia milii)	Conditions of Poisoning	"The poisonous principle is present in all parts of the plant. Euphorbia species generally are highly unpalatable, but animals may eat them due to lack of good forage. Drying does not destroy the toxicity of the plant, and Euphorbia in hay may be slightly more palatable to livestock. Contact with the white, milky sap may cause severe blistering as well as intense pain to open cuts or eyes. Honey made from the flowers of these plants may be toxic."
Crown of Thorns (Euphorbia milii)	Control	"Light infestations of pastures usually are not a problem since most Euphorbia can be grazed to a limited degree without noticeable reactions. Mowing and reseeding with hardy pasture plants is helpful for heavier infestations of Euphorbia, since most pasture species are annuals; light restocking rates also may help increase the predominance of desirable forage species. Supplemental feeding is suggested in some areas when desirable forage is scarce."
Crown of Thorns (Euphorbia milii)	Toxic Principle	The poisonous principles have been identified as phorbol esters. Phorbol esters activate protein kinase C. Protein phosphorylation is increased by protein kinase C which may alter multiple enzyme and other protein functions. Effects may result in cytoskeletal damage and tumor promotion.
Crown of Thorns (Euphorbia milii)	Clinical Signs	"Generally horses, cattle, sheep, cats, dogs and humans are affected by Euphorbia and may experience severe irritation of the mouth and gastrointestinal tract, sometimes with hemorrhage and diarrhea. Other general signs include blistering, swelling about the eyes and mouth, excessive salivation and emesis, abdominal pain and weakness. The sap may cause dermatitis. Death is rare. Work horses may suffer severe blisters and loss of hair on the ankles. Approximately 3 kg of E. prostrata and E. marginata when fed to cattle produces severe scours and emaciation."
Crown of Thorns (Euphorbia milii)	Animals Affected	"Horses, cattle, sheep, cats, dogs"
Daffodil (Narcissus spp.)	Description	"Daffodils are ornamental perennial bulbs, common to the United States. The plant grows from bulbs that are various sizes and shapes. The leaves are long and narrow, and the flowers grow either as single flowers or in clusters of up to 20 flowers. They typically don't have a scent, and are either white, yellow, or orange in color."
Daffodil (Narcissus spp.)	Distribution	Daffodils are found worldwide.
Daffodil (Narcissus spp.)	Conditions of Poisoning	"While the entire plant is toxic, the bulbs are particularly toxic. Consuming the bulb may cause vomiting, diarrhea, abdominal pain, and in some cases, cardiac arrhythmia or respiratory depression. "
Daffodil (Narcissus spp.)	Control	"Keep your pets and animals away from daffodil plants and bulbs so they don't accidentally eat them. If they do, contact your veterinarian immediately. "
Daffodil (Narcissus spp.)	Toxic Principle	"At least 15 phenanthridine alkaloids including lycorine, have been identified in the leaves, stems and bulbs of Narcissus. The concentrations of the alkaloids are highest in the outer layers of the bulbs."
Daffodil (Narcissus spp.)	Clinical Signs	"Vomiting, diarrhea, difficulty breathing or swallowing, excess salivation, seizures, dermatitis."
Daffodil (Narcissus spp.)	Animals Affected	"Dogs, cats, horses, humans"
Dogbanes (Apocynum cannabinum L. and other species)	Description	"This is a perennial milky-juiced herb of the Dogbane family. It has opposite leaves which are simple, nearly 5 inches long and about half as wide, with smooth margins."
Dogbanes (Apocynum cannabinum L. and other species)	Distribution	"This weed is scattered throughout the United States in open fields, pastures, along roadsides and streams. Sometimes the plant is cultivated for ornament and for use in medicine."
Dogbanes (Apocynum cannabinum L. and other species)	Conditions of Poisoning	"This plant is reportedly very distasteful and animals usually avoid it, so poisoning is infrequent. It is consumed primarily when other forage is in short supply. Both green and dried dogbane are toxic. Fifteen to thirty grams of green leaves have been reported to cause the death of a horse or a cow. The root of Apocynum cannabinum has been employed therapeutically to ""retard the heart in systole"" and was therefore used for ""dropsy"" and ""heart trouble."""
Dogbanes (Apocynum cannabinum L. and other species)	Control	"Keep animals from grazing along roadsides, in abandoned fields, or in any other areas where dogbanes are growing. Do not cut hay from land infested with dogbanes. Get rid of these plants in all areas in which animals are grazed or from which hay is cut to be used as feed."
Dogbanes (Apocynum cannabinum L. and other species)	Toxic Principle	Cardiac glycosides.
Dogbanes (Apocynum cannabinum L. and other species)	Clinical Signs	"Animals that have eaten appreciable quantities of dogbane show first a rise in body temperature, sweating, and a strong pulse but cold extremities. The pupils of the eyes are usually dilated. The inside of the mouth and nostrils becomes discolored, and later the mouth becomes so sore that the animal refuses food. In spite of this, bowel action may be frequent. Death is likely to follow."
Dogbanes (Apocynum cannabinum L. and other species)	Animals Affected	"Horses, cattle, sheep, cats, dogs, goats"
Dutchman's Breeches & Squirrel Corn (Dicentra cucullaria (L.) Bernh. & Dicentra canadensis (Goldie) Walp.)	Description	"Dutchman's Breeches is a low, delicate herb, with slender leaf stalks and flower stalks, both rising from an underground, scaly bulb. Its lacy leaves are 3-parted and finely divided. The flower stalks are 5 to 10 inches long and bear several nodding blossoms 1/2 to 3/4 inch long. The blossoms are odorless, white, and flattened; their peculiar shape suggests the common name of the plant. Seeds are produced in small spindle-shaped pods."
Dutchman's Breeches & Squirrel Corn (Dicentra cucullaria (L.) Bernh. & Dicentra canadensis (Goldie) Walp.)	Description	"A closely related Dicentra Canadensis (squirrel corn) grows 6-12 inches tall from a horizontal rhizome with small round tubers at the base of the plant. Below ground it has a long rootstock bearing yellowish flattened, orbicular corms. Other than the fact the spurs of D. canadensis are short and not divergent, the two species of Dicentra are very much alike, except that squirrel corn has fragrant flowers."
Dutchman's Breeches & Squirrel Corn (Dicentra cucullaria (L.) Bernh. & Dicentra canadensis (Goldie) Walp.)	Distribution	"Both Dutchman's breeches and squirrel corn occur throughout the state in wooded areas. Dutchman's breeches is in many places abundant, especially on wooded slopes that have well-drained soil and rich deposits of leaf mold. Squirrel corn, although preferring the same habitat, is much rarer."
Dutchman's Breeches & Squirrel Corn (Dicentra cucullaria (L.) Bernh. & Dicentra canadensis (Goldie) Walp.)	Distribution	"Generally Dicentra spp. grow naturally in rich, moist woodlands of eastern to midwestern North America, ranging from New York and southern Ontario to northern Alabama and as far west as eastern Kansas and Nebraska."
Dutchman's Breeches & Squirrel Corn (Dicentra cucullaria (L.) Bernh. & Dicentra canadensis (Goldie) Walp.)	Conditions of Poisoning	"All parts of the plants are poisonous, and poisoning can occur through ingestion or skin contact. Poisoning generally only occurs after ingesting large amounts of the plant, and skin irritation caused by the plant is minor and quick to fade."
Dutchman's Breeches & Squirrel Corn (Dicentra cucullaria (L.) Bernh. & Dicentra canadensis (Goldie) Walp.)	Control	"Where Dutchman's Breeches is abundant in pastures, keep cows out until other forage is plentiful -- usually late in May. Let sheep graze infested pastures first. Although Dutchman's Breeches is hard to destroy, heavy grazing by sheep is reported to nearly rid woods pastures of this pest."
Dutchman's Breeches & Squirrel Corn (Dicentra cucullaria (L.) Bernh. & Dicentra canadensis (Goldie) Walp.)	Toxic Principle	Isoquinoline alkaloids.
Dutchman's Breeches & Squirrel Corn (Dicentra cucullaria (L.) Bernh. & Dicentra canadensis (Goldie) Walp.)	Clinical Signs	"Eating the leaves and roots produce poisoning similar to that of Bleeding Heart, a common garden plant. The most common symptom of poisoning by Dutchman's breeches and squirrel corn is a staggering gait, which gives the common name staggerweed to both plants. After eating these plants, cows give less milk."
