"Keywords"	"Section"	"Description"
"Animas Ridgenose Rattlesnake"	"Description"	"The Animas Ridgenose Rattlesnake is a relatively small snake. The body of the snake is typically a chocolate to reddish-brown in color. There are narrow white crossbands that are edged in darker color. The crossbands are sometimes broken, appearing more as blotches. There are blotches/spots on the sides of the snake. The top of the head typically has dark spots. The nose has a row of upturned scales that form a ridge, which is where the snake gets its name.
The Animas Ridgenose Rattlesnake has elliptical pupils that look like cat's eyes and like all pit vipers, has a heat-sensing pit between the nostril and eye on each side of its head. The Animas Ridgenose Rattlesnake has a large, triangular head that is wider than the neck when viewed from above."
"Animas Ridgenose Rattlesnake"	"Distribution"	"In the United States, the Animas Ridgenose Rattlesnake is found in Arizona and New Mexico."
"Animas Ridgenose Rattlesnake"	"state"	"Arizona,New Mexico"
"Apache Recluse"	"Class"	"Bugs"
"Apache Recluse"	"Category"	"Spider"
"Apache Recluse"	"Scientific_name"	"Loxosceles apachea"
"Apache Recluse"	"state"	"Arizona,New Mexico,Texas"
"Arizona Bark Scorpion"	"Class"	"Bugs"
"Arizona Bark Scorpion"	"Category"	"Scorpion"
"Arizona Bark Scorpion"	"Scientific_name"	"Centruroides exilicauda"
"Arizona Bark Scorpion"	"Size"	"The average length of mature Stripebacked Scorpions is 2.5 inches."
"Arizona Bark Scorpion"	"Description"	"The Stripebacked Scorpion varies in color from yellowish-tan to brown. As you can see in the picture below, the Stripebacked Scorpion has 2 dark gray lines that run the length of it's back. Older scorpions tend to be a darker brown, and the stipes may not be as obvious."
"Arizona Bark Scorpion"	"Distribution"	"In the United States, the Stipebacked Scorpion is found in Arizona, Arkansas, Colorado, Illinois, Kansas, Louisiana, Mississippi, Missouri, Nebraska, New Mexico, Oklahoma, Tennessee, and Texas. It is the most widespread scorpion in the United States. Outside of the United States, it is found in Northern Mexico."
"Arizona Bark Scorpion"	"Notes"	"There seems to be some varied opinions about the potential danger of the Stripebacked Scorpion. Some claim it to be harmless, while others have reported it's sting as extremely painful and potentially dangerous."
"Arizona Bark Scorpion"	"state"	"All,All"
"Arizona Black Rattlesnake"	"Class"	"Animals"
"Arizona Black Rattlesnake"	"Category"	"Snake"
"Arizona Black Rattlesnake"	"Scientific_name"	"Crotalus oreganus cerberus"
"Arizona Black Rattlesnake"	"Distribution"	"In the United States, the Arizona Black Rattlesnake is found in Arizona and New Mexico."
"Arizona Black Rattlesnake"	"state"	"Arizona,New Mexico"
"Arizona Coral Snake"	"Class"	"Animals"
"Arizona Coral Snake"	"Category"	"Snake"
"Arizona Coral Snake"	"Scientific_name"	"Micruroides euryxanthus euryxanthus"
"Arizona Coral Snake"	"Size"	"Mature Arizona Coral Snakes can reach up to 21 inches in length, and average between 12-18 inches."
"Arizona Coral Snake"	"Description"	"Arizona Coral Snakes are colorful snakes. They have rings or rings of black, yellow, and red around their bodies. Sometimes the yellow rings appear more white than yellow on the Arizona Coral Snake. The yellow rings are thinner than the black and red rings. The last several inches of the tail of the Arizona Coral Snake contains several rings of black and yellow, without the red rings. Several other snakes are colored similarly, with black, yellow, and red rings, but there is a phrase to help identify coral snakes from these other look-alikes:
Red touches yellow - kill a fellow
Red touches black - venom lack
There are several different versions of this simple rhyme, but the key to it is - if the red and yellow rings touch, it's probably a coral snake. Another quick identifying feature is that the coral snake's head or nose is typically black. There are exceptions to this rule, but if the nose is black, it's probably a coral snake. If you are unsure what kind of snake it is, leave it alone.
Like all coral snakes, the Arizona Coral Snakes have small, fixed fangs in the front of their mouth. They do not have hinged fangs like the pit vipers."
"Arizona Coral Snake"	"Distribution"	"In the United States, the Arizona Coral Snake is found in Arizona and New Mexico."
"Arizona Coral Snake"	"Notes"	"Arizona Coral Snakes are secretive and shy snakes that are rarely seen. They are highly venomous snakes, but bites are relatively rare. Most bites occur when a snake is stepped on, or when someone attempts to handle an Arizona Coral Snake. Some say that the mouth of Arizona Coral Snakes are so small that they can only bite fingers or loose folds of skin - this is simply not true."
"Arizona Coral Snake"	"state"	"Arizona,New Mexico"
"Arizona Recluse"	"Class"	"Bugs"
"Arizona Recluse"	"Category"	"Spider"
"Arizona Recluse"	"Scientific_name"	"Loxosceles arizonica"
"Arizona Recluse"	"Size"	"The average size of mature Arizona Recluse spiders is approximately 1/3 of an inch, with a leg span of 1 to 1.5 inches. Male and female are similar in size."
"Arizona Recluse"	"Description"	"Arizona Recluse spiders are generally yellowish-brown to brown in color, with a darker colored violin shape on the top of the cephalothorax (not the abdomen). The violin is easy to see in the photos on this page. The abdomen is a uniform color, with no markings on it.
Arizona Recluse spiders, and the other related recluse spiders, have six eyes arranged in three pairs of two. This is a rather unique feature, as most spiders have eight eyes. A magnified view of the eyes can be seen in a photo below."
"Arizona Recluse"	"Distribution"	"The Arizona Recluse is only found in Arizona, California, New Mexico, and Texas. Outside of the United States, the Arizona Recluse is found in Mexico."
"Arizona Recluse"	"Notes"	"The Arizona Recluse is known to have a necrotic bite. This means that the bite causes severe damage to the skin and surrounding tissue, resulting in a large open sore, called a necrotic lesion, that takes a long time to heal.
Often the Recluse spiders are called Violin Spiders or Fiddleback Spiders, because of the characteristic violin marking. They are also called Brown Spiders in some areas.
Below is a photo of a Brown Recluse, which is similar in appearance to the Arizona Recluse. Note the violin marking that is found on many recluse spiders, including the Arizona Recluse."
"Arizona Recluse"	"state"	"Arizona,California,New Mexico,Texas"
"Arizona Ridgenose Rattlesnake"	"Class"	"Animals"
"Arizona Ridgenose Rattlesnake"	"Category"	"Snake"
"Arizona Ridgenose Rattlesnake"	"Scientific_name"	"Crotalus willardi willardi"
"Arizona Ridgenose Rattlesnake"	"Size"	"The average size of a mature Arizona Ridgenose Rattlesnake is 1.5 - 2 feet in length."
"Arizona Ridgenose Rattlesnake"	"Description"	"The Arizona Ridgenose Rattlesnake is a relatively small snake. The body of the snake is typically a chocolate to reddish-brown in color. There are narrow white crossbands that are edged in darker color. The crossbands are sometimes broken, appearing more as blotches. There are blotches/spots on the sides of the snake. Prominent white stripes run the length of the face. The nose has a row of upturned scales that form a ridge, which is where the snake gets its name.
The Arizona Ridgenose Rattlesnake has elliptical pupils that look like cat's eyes and like all pit vipers, has a heat-sensing pit between the nostril and eye on each side of its head. The Arizona Ridgenose Rattlesnake has a large, triangular head that is wider than the neck when viewed from above."
"Arizona Ridgenose Rattlesnake"	"Distribution"	"In the United States, the Arizona Ridgenose Rattlesnake is found only in Arizona."
"Arizona Ridgenose Rattlesnake"	"state"	"Arizona"
"Asian Tiger mosquito"	"Class"	"Bugs"
"Asian Tiger mosquito"	"Category"	"Mosquitos"
"Asian Tiger mosquito"	"Clinical_Signs"	"Looks of bite: hard, very bumpy, and very red
Feeling of the bite: it feels very hot and painful
Risk of bite: encephalitis, dengue (all four serotypes), yellow fever"
"Asian Tiger mosquito"	"Treatment"	"Cure: topical solutions and anti-histamines."
"Baja Recluse"	"Class"	"Bugs"
"Baja Recluse"	"Category"	"Spider"
"Baja Recluse"	"Scientific_name"	"Loxosceles palma"
"Baja Recluse"	"state"	"California"
"Banded Gila Monster"	"Class"	"Animals"
"Banded Gila Monster"	"Category"	"Lizard"
"Banded Gila Monster"	"Scientific_name"	"Heloderma suspectum cinctum"
"Banded Gila Monster"	"Size"	"Mature Banded Gila Monsters can reach up to two feet in length, and can weigh up to 3 pounds."
"Banded Gila Monster"	"Description"	"Banded Gila Monsters are black, with double cross band patterns of pink, yellow, or orange. They have a large head, fat body, and a thick tail that usually has several bands around it. Their face and feet are typically colored black."
"Banded Gila Monster"	"Distribution"	"The Banded Gila Monster is also called the Northern subspecies or the Northern Gila Monster. The Banded Gila Monster is only found in western Arizona, southeastern California, southern Nevada, and southwestern Utah."
"Banded Gila Monster"	"Notes"	"Gila Monsters do not have fangs like venomous snakes. The teeth in their lower jaw contain two grooves. When the Gila Monster bites, venom from glands in their lower jaw flows up the grooves into the wound. The Gila Monster will chew on its victim to facilitate the flow of venom. The Gila Monster has powerful jaws, a strong bite, and is said to hold on like a bulldog."
"Banded Gila Monster"	"state"	"All"
"Banded Rock Rattlesnake"	"Class"	"Animals"
"Banded Rock Rattlesnake"	"Category"	"Snake"
"Banded Rock Rattlesnake"	"Scientific_name"	"Crotalus lepidus klauberi"
"Banded Rock Rattlesnake"	"Size"	"The average size of a mature Banded Rock Rattlesnake is 1.5 - 2 feet, with some getting as large as 2.5 feet."
"Banded Rock Rattlesnake"	"Description"	"The Banded Rock Rattlesnake is a slender snake. The body color of the snake varies greatly based on the rock and mold colors that are common in the areas it is found. The body may be greenish, brown, grey, pink/lavendar, or blue-grey. There are widely spaced dark crossbands. These bands usually have serrated, saw-like edges. There are often small spots between the crossbands. On some, the spotting is very heavy and gives the snake a speckled appearance in addition to the banding.
The Banded Rock Rattlesnake has elliptical pupils that look like cat's eyes and like all pit vipers, has a heat-sensing pit between the nostril and eye on each side of its head. The Banded Rock Rattlesnake has a relatively small triangular head that is only slightly wider than the neck when viewed from above. The end of the tail has a rattle on it."
"Banded Rock Rattlesnake"	"Distribution"	"In the United States, the Banded Rock Rattlesnake is found in Arizona, New Mexico, and Texas."
"Banded Rock Rattlesnake"	"state"	"Arizona,New Mexico,Texas"
"bed_bug"	"Class"	"Bugs"
"bed_bug"	"Category"	"Other Bugs"
"bed_bug"	"Description"	"About the size of an apple seed, or 5-7 mm.
Oval and flat, unless they have recently fed.
Light tan to reddish-brown, darkening after feeding.
Wingless, with a wrinkled upper body."
"bed_bug"	"Clinical_Signs"	"Itching, redness, and swelling at the bite site
including hives and anaphylaxis (in rare cases)
Scratching the bites can break the skin and increase the risk of bacterial or fungal infections."
"Big Bend Recluse"	"Class"	"Bugs"
"Big Bend Recluse"	"Category"	"Spider"
"Big Bend Recluse"	"Scientific_name"	"Loxosceles blanda"
"Big Bend Recluse"	"state"	"New Mexico,Texas"
"Bird flea"	"Class"	"Bugs"
"Bird flea"	"Category"	"Fleas"
"Bird flea"	"Clinical_Signs"	"Look of bites: Their bites often leave small red spots on the skin
Feeling of bites:  Bird flea bites can cause itching, irritation, and in some cases, allergic reactions
In most cases, flea bites are ultimately harmless. But you shouldn't scratch your flea bites. You can relieve your itch with many over-the-counter or home remedies. Contact your healthcare provider if your bite symptoms last longer than a few days or if you develop an allergic reaction or other symptoms."
"Bird flea"	"Treatment"	"Cure: Flea bites typically don't need treatment. Over-the-counter anti-itch creams or ointments and antihistamines can relieve itchy skin and discomfort. However, see your healthcare provider if more severe symptoms develop after a bite (allergic reaction, fever, headache or body aches)."
"Black Mamba"	"Class"	"Animals"
"Black Mamba"	"Category"	"Snake"
"Black Mamba"	"Clinical_Signs"	"tingling, blurred vision, difficulty swallowing and speaking, slurred speech, and muscle weakness."
"Black Mamba"	"Treatment"	"Instantly call emergency services and transport the victim to the hospital."
"Black Mamba"	"Notes"	"Don’t Get Bitten by this snake."
"Blister Beetle"	"Class"	"Bugs"
"Blister Beetle"	"Category"	"Other Bugs"
"Blister Beetle"	"Clinical_Signs"	"Look of bite:A blister beetle \bite\ (which is actually a reaction to its toxic hemolymph) looks like a rash of large, painful blisters filled with clear fluid that form on the skin, often appearing in a linear or track-like pattern where the beetle came into contact with the skin. The affected area may also be red and swollen
Feeling of Bite: Blisters: Large, painful blisters filled with clear fluid form on the skin where contact occurred.
Pain: A stinging or burning sensation often occurs first, followed by pain in the affected area.
Redness and swelling: The area around the contact point will likely become red and swollen.
Irritation: The reaction is caused by the beetle secreting a substance that irritates the skin, not a typical \bite\.
Blister beetles excrete a toxic blistering agent called cantharidin, which can cause irritation and blistering when it comes in contact with the eyes, skin, mouth, throat, or digestive tract. The irritation and blisters that form can be painful but usually are not life-threatening."
"Blister Beetle"	"Treatment"	"Cure: Welts and blisters will disappear in about a week. To treat symptoms of a local reaction, wash the blister with warm, soapy water each day, and then apply a topical steroid or antibiotic. This can prevent a secondary infection and ease redness, swelling, and pain.
Applying a cold compress to the lesion several times a day can also ease swelling and pain. You don’t need to see a doctor, but you should seek medical attention if cantharidin gets in your eyes."
"Bloodroot"	"Class"	"Plants"
"Bloodroot"	"Category"	"Plants"
"Bloodroot"	"Scientific_name"	"Sanguinaria canadensis"
"Bloodroot"	"Other_name"	"Red Puccoon"
"Bloodroot"	"Description"	"Bloodroot is a low, glabrous, stemless perennial herb. It has extensively branched rhizomes, and each growing tip produces a flower stem and a leaf that is palmately lobed with 5 to 7 lobes. The flower appears from March to May, rolled in a single leaf. The white-to-pink flower has 8-12 oblong petals and numerous golden yellow stamens. The flower is initially taller than the leaf, but as it turns to fruit, the leaf unfolds and flattens to shade the fruit. The root has reddish-orange sap.    "
"Bloodroot"	"Clinical_Signs"	"Symptoms of bloodroot poisoning include nausea, vomiting, faintness, dizziness, dilated pupils, fainting, diarrhea, and heart failure. Poisoning can be fatal."
"Bloodroot"	"Toxic_Principle"	"The red-colored latex from this plant contains several alkaloids similar to those found in the Opium Poppy, and include sanguinarine, chelerythrine, protopine, and homochelidonine, as well as resins. "
"Bloodroot"	"Conditions_of_Poisoning"	"All parts of the plant are poisonous but the toxins are most highly concentrated in the root after leaves are completely open. The active alkaloid levels vary greatly between regions as well as populations. "
"Bloodroot"	"Animals_Affected"	"Goats"
"Bloodroot"	"Distribution"	"Bloodroot grows throughout the mid to eastern states of the U.S. east of the Mississippi and from southern Canada to the northern half of Louisiana and Georgia. It is found in most counties of Illinois in moist but well-drained woodland soil. "
"Bloodroot"	"state"	"Georgia,Illinois,Louisiana,Mississippi"
"Bloodroot"	"References_Used"	"Burrows, George E., & Tyrl, Ronald J. (2013). Toxic plants of North America. Hoboken: Wiley-Blackwell.
https://plants.ces.ncsu.edu/plants/all/sanguinaria-canadensis/"
"Bouncing Bet"	"Class"	"Plants"
"Bouncing Bet"	"Category"	"Plants"
"Bouncing Bet"	"Scientific_name"	"Saponaria officinalis"
"Bouncing Bet"	"Description"	"Bouncing bet is an herbaceous perennial which grows from rhizomes. Its close relative, cow cockle (Saponaria vaccaria L.), is an annual. It grows to be 1-3 feet tall. The stems are erect and jointed with opposite elliptic leaves which are 3-4 inches long and 1/2 to 1-1/2 inches wide at the middle. The leaf margins lack teeth.
The flowers come in clusters of cylindric sepals and bloom from June to September, displaying 5-6 petals notched at the apex. Petal colors range from white to pink. The fruit is a capsule about 1 inch long and 1/4 inch thick containing many somewhat round black seeds. The seeds have minute bumps on the surface."
"Bouncing Bet"	"Clinical_Signs"	"Poisoning caused by bouncing bet is usually mild, as animals tend to avoid the feed that contains this plant. The poison irritates the digestive tract and may cause vomiting, signs suggestive of nausea, and diarrhea. Slowed or rapid breathing as well as unsteadiness, ataxia and coma also are associated with poisoning by this plant."
"Bouncing Bet"	"Toxic_Principle"	"Bouncing Bet contains large amounts of saponins, which froth when extracted with water. The saponins are soluble in water and alcohol. The sapotoxins of these saponins are similar or identical to those of corn cockle (Agrostemma Githago). Hydrolysis of the saponins yields sugars and sapogonins, a group of physiologically active substances.
The toxic material is contained in highest concentration in the seeds. Most animals refuse to eat the seeds and avoid grains or screenings containing them. Feeding of the plant itself to sheep in an amount of 3% of the body weight caused death within 4 hours; the plant weight being expressed on a dry-weight basis."
"Bouncing Bet"	"Conditions_of_Poisoning"	"The abundance of bouncing bet along roadsides and in other wastelands makes it easily accessible to animals allowed to graze in such places. Although the entire plant is poisonous, the seeds contain the largest concentration of the toxic principle."
"Bouncing Bet"	"Control"	"Screenings of grain should be checked for large quantities of Saponaria seeds. Animals tend to avoid contaminated feed because the plants apparently are distasteful. Animals should not be grazed where Saponaria species is abundant, especially when the pasture grasses are present in short supply or are exceedingly dry. "
"Bouncing Bet"	"Animals_Affected"	"Cattle, sheep, horses"
"Bouncing Bet"	"Distribution"	"Originally from Europe, bouncing bet and the related species, cow cockle (Saponaria vaccaria L.), grow in open unused areas, along roadsides and railroad tracks, and waste grounds throughout the U.S. Bouncing bet is found in nearly all counties of Illinois, while cow cockle is limited only to scattered counties in northern and central Illinois. Bouncing bet and cow cockle are considered weeds, although they are attractive plants."
"Bouncing Bet"	"state"	"Illinois"
"Bracken Fern"	"Class"	"Plants"
"Bracken Fern"	"Category"	"Plants"
"Bracken Fern"	"Scientific_name"	"Pteridium aquilinum"
"Bracken Fern"	"Other_name"	"Brake Fern"
"Bracken Fern"	"Description"	"Bracken fern is a typical fern. Its large triangular fronds are divided into three main parts with each part bipinnately subdivided. These fronds are 2 to 4 feet long by 1 to 3 feet wide. They are borne at the tips of erect, rigid, straw-colored, smooth stalks 1 to 3 feet tall. The stalks rise at intervals from stout black underground rootstocks sometimes a yard or more long.
Spores are borne in late summer at the edges on the lower sides of mature fronds, and the edges fold under to form the spore cover. The rootstocks also spread the fern."
"Bracken Fern"	"Clinical_Signs"	"Bracken fern poisoning affects the cow and the horse differently with regard to both clinical signs of illness and tissue damage. Consumption of the plant may also affect the flavor and odor of the milk produced by the animal.
In cattle:
After feeding on bracken fern for several to many days, cattle often sicken rather suddenly and, contrary to their reaction to most types of plant poisoning, they may show a very high fever. Major effects of bracken fern poisoning in cattle are related to damage to the blood forming elements (decreases production of white blood cells, red blood cells, and platelets) and sometimes to urinary tract carcinogenesis. Clinical signs may include rapid loss of body weight, difficult breathing, excessive salivation, bleeding from the nose, blood in the droppings, and congested, hemorrhagic, or icteric (jaundiced or yellowish) mucous membranes may also be observed. Bracken fern poisoning has been mistaken for anthrax and other infectious diseases of cattle.
In horses:
The first clinical signs of bracken fern poisoning in horses are usually an unsteady gait, a \tucked up\ appearance of the flanks, nervousness, timidity, congestion of the visible mucous membranes, and constipation. Later, the horse may stand with legs spread, walking with a staggering gait, and occasionally fall, especially if its head is raised suddenly. The appetite may remain normal. Dilated pupils and both increased and decreased heart action have been reported in cases of equine bracken fern poisoning. If not treated, death occurs in 2-10 days, though some horses occasionally survive up to 30 days or more after onset of poisoning."
"Bracken Fern"	"Toxic_Principle"	"Thiaminase from bracken fern especially affects horses and pigs but not cattle. Ptaquiloside affects cattle and sheep and causes bone marrow damage. Other toxic principles that affect cattle are: aplastic anemia factor, and hematuria causing factor. "
"Bracken Fern"	"Conditions_of_Poisoning"	"In dry, hot seasons or in late summer to early fall, when succulent herbage is scarce, animals more often eat bracken, although they generally avoid it at other times. Also, if hay is cut from bracken fern-infested meadows and fed, poisoning may result. Both cattle and horses are susceptible to bracken fern poisoning. Sheep and swine rarely eat bracken fern, but exposed swine (at least) may sometimes experience a thiaminase-mediated syndrome."
"Bracken Fern"	"Control"	"Especially during dry periods, animals should be kept out of bracken fern-infested pastures. Hay from infested meadows should not be used for feed or bedding. Generally bracken fern should be eliminated from pastures and hayfields. Large infestations of bracken fern may be reduced gradually by pulling or mowing the fronds twice a year (in June and August) or by fertilizing and liming infested areas. "
"Bracken Fern"	"Animals_Affected"	"Horse, cattle, sheep, swine"
"Bracken Fern"	"Distribution"	"Many varieties of bracken fern are found throughout the U.S., particularly in dry pastures and meadows, abandoned fields, and open woods on sandy and gravelly soil. In Illinois it may be a pest throughout the northern third of the state.
Even when there is no bracken fern in the open pastures, it may be growing in the fencerows and along roadsides, where animals may browse it when other forage is scarce."
"Bracken Fern"	"state"	"Illinois"
"Bracken Fern"	"References_Used"	"Knight, A. P., & Walter, R. G. (2001). A guide to plant poisoning of animals in North America. Jackson, Wyo.: Teton NewMedia."
"Broad Banded Copperhead"	"Class"	"Animals"
"Broad Banded Copperhead"	"Category"	"Snake"
"Broad Banded Copperhead"	"Scientific_name"	"Agkistrodon contortrix laticinctus"
"Broad Banded Copperhead"	"Size"	"The average size of a mature Broad-Banded Copperhead is 2 - 3 feet in length. It is one of the smaller Copperhead subspecies."
"Broad Banded Copperhead"	"Description"	"The Copperhead gets it name from the copper-red color of the top of its head, similar to the color of a penny. The body of the Broad-Banded Copperhead is generally a light tan to reddish-tan, with dark brown to reddish-brown bands. These bands are wider than the light space between them, hence the name. The bands also are not thinner across the spine as they are in other Copperhead subspecies.
Young Broad-Banded Copperheads are patterned like mature Broad-Banded Copperheads, but are often grayer in color, and the tip of the tail on young Broad-Banded Copperheads is yellow. The yellow tail is used to attract food. It is wiggled in a motion imitating a worm or caterpillar, which attract frogs, lizards, or other prey that the young Broad-Banded Copperhead eats.
The Broad-Banded Copperhead has elliptical pupils that look like cat's eyes and like all pit vipers, has a heat-sensing pit between the nostril and eye on each side of its head. The Broad-Banded Copperhead has a large, triangular head that is wider than the neck when viewed from above."
"Broad Banded Copperhead"	"Distribution"	"In the United States, the Broad-Banded Copperhead is found in Kansas, Oklahoma, and Texas."
"Broad Banded Copperhead"	"Notes"	"When the Broad-Banded Copperhead is disturbed or feels threatened, it will often coil up its body, and raise its head at a 45-degree angle from the ground in a defensive posture. It will often vibrate its tail when disturbed as well.
The Broad-Banded Copperhead is born with the ability to bite and inject venom, and is fully capable of inflicting a venomous bite from birth."
"Broad Banded Copperhead"	"state"	"Kansas,Oklahoma,Texas"
"Brown Recluse"	"Class"	"Bugs"
"Brown Recluse"	"Category"	"Spider"
"Brown Recluse"	"Scientific_name"	"Loxosceles reclusa"
"Brown Recluse"	"Size"	"The average size of mature Brown Recluse spiders is approximately 1/3 of an inch, with a leg span of 1 to 1.5 inches. Male and female are similar in size."
"Brown Recluse"	"Description"	"Brown Recluse spiders are generally yellowish-brown to brown in color, with a darker colored violin shape on the top of the cephalothorax (not the abdomen). The violin is easy to see in the photos on this page. The abdomen is a uniform color, with no markings on it.
Brown Recluse spiders, and the other related recluse spiders, have six eyes arranged in three pairs of two. This is a rather unique feature, as most spiders have eight eyes. A magnified view of the eyes can be seen in a photo below."
"Brown Recluse"	"Distribution"	"In the United States, the Brown Recluse is found in Alabama, Arkansas, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Mississippi, Missouri, Nebraska, Oklahoma, Tennessee, and Texas. Outside of the United States, the Brown Recluse is found in Mexico."
"Brown Recluse"	"Notes"	"The Brown Recluse is known to have a necrotic bite. This means that the bite causes severe damage to the skin and surrounding tissue, resulting in a large open sore, called a necrotic lesion, that takes a long time to heal. In some cases, systemic effects (i.e. headache, nausea, abdominal cramps, joint stiffness, and/or fever) have been reported as well. In some cases, when left untreated, the bite of the Brown Recluse has also reportedly caused kidney failure.
Often the Recluse spiders are called Violin Spiders or Fiddleback Spiders, because of the characteristic violin marking. They are also called Brown Spiders in some areas.
Magnified eyes of a recluse spider. Note there are only six eyes, arranged in three pairs. Most spiders have eight eyes."
"Brown Recluse"	"state"	"Alabama,Arkansas,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Nebraska,Ohio,Oklahoma,South Carolina,Tennessee,Texas"
"Brown Widow"	"Class"	"Bugs"
"Brown Widow"	"Category"	"Spider"
"Brown Widow"	"Scientific_name"	"Latrodectus geometricus"
"Brown Widow"	"Size"	"The average size of mature, female Brown Widow spiders is approximately .5 inch, with a leg span of 1.5 to 2 inches. Mature, male Brown Widow spiders are much smaller - approximately 1/3 the size of the female."
"Brown Widow"	"Description"	"Brown Widow spiders are typically tan to medium brown in color. In some instances, they can be significantly lighter, almost cream colored, while in others they can be much darker brown, almost appearing black. They have the typical widow hourglass marking on the underside of their abdomen, and most of the time this hourglass appears to be orange, sometimes yellow, on the Brown Widow instead of the red color typically found on the related black widow species. The top of Brown Widow's abdomen can vary greatly in the way it is marked. Typically it has red or white spots running down the middle of its back. Sometimes it will also have black and white markings patterned down the sides of the abdomen. The legs of the Brown Widow are typically banded with yellow/brown and black, as can be seen in the photos below, although I have found that this banding is very hard to see unless the spider is in bright lighting. When not in bright lighting, the legs appear dark brown or black."
"Brown Widow"	"Distribution"	"The Brown Widow is an introduced species in the United States, and was once only found in central and southern Florida. It has since rapidly expanded it's territory and is now found in every southern state in the United States. Outside of the United States, it is believed to live in most tropical areas of the world."
"Brown Widow"	"Notes"	"As with all widow spiders, only the female of the species is considered dangerous. The much smaller male is considered harmless. Brown Widow spiders are nocturnal, which means they are active during the nighttime. They spend most of their time hanging \upside down\ in their web, which often makes the hourglass marking immediately visible. Brown Widow spiders are very common around residential areas and often build webs on outdoor patios, patio furniture, outdoor grills, sheds, undersides of decks, and in garages.
Brown Widow spiders are typically not aggressive, and bite as a defensive measure when they are attacked or feel threatened. They will often retreat into hiding, but are more protective of their web when there are egg sacs present.
Additional notes on the web and egg sacs of Brown Widow spiders accompany the photos below.
The egg sac of the Brown Widow is very unique and is an excellent identifying feature. As seen in the photos below, the egg sacs are a creamy-tan color. What makes them unique is the many \spikes\ that appear on the egg sac."
"Brown Widow"	"state"	"Alabama,Arizona,Arkansas,California,Florida,Georgia,Hawaii,Louisiana,Mississippi,Missouri,Nevada,New Mexico,North Carolina,Oklahoma,South Carolina,Texas,Texas"
"Bumblebee"	"Class"	"Bugs"
"Bumblebee"	"Category"	"Bees"
"Bumblebee"	"Clinical_Signs"	"Look of sting: What Does a Bumblebee Sting Look and Feel Like? Bumblebee stingers are smooth and do not have barbs, so they're unlikely to leave a stinger in the skin. The sting wound can cause a local reaction with swelling, redness, and itching, however. Welts are common with bee stings as well.
swelling"
"Bumblebee"	"Treatment"	"Cure:As soon as possible after being stung, the person should take an anti-inflammatory (such as aspirin or ibuprofen) and place a cold compress to the site. In …"
"Buttercup"	"Class"	"Plants"
"Buttercup"	"Category"	"Plants"
"Buttercup"	"Scientific_name"	"Ranunculus"
